TransactionType,Channel,TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,Cluster
1,0,0.015316801966929883,0.8387096774193548,0.24482758620689654,1.0,0.33683185966818,3
1,0,0.41639994240971057,0.8064516129032258,0.45172413793103444,1.0,0.9180546275595326,3
1,2,0.13957892638410507,0.016129032258064557,0.1586206896551724,1.0,0.06863734931174438,0
1,2,0.2040468253352973,0.12903225806451613,0.05172413793103449,1.0,0.569197956003802,0
0,2,0.014607998405191985,0.12903225806451613,0.6482758620689656,1.0,0.4925911187531677,2
1,0,0.10176868638764909,0.0,0.5586206896551724,1.0,0.045737843102722775,3
0,0,0.007553187954769473,0.30645161290322587,0.44482758620689655,1.0,0.8883303734554748,2
0,1,0.189560652542279,0.7903225806451613,0.9689655172413792,1.0,0.18115460779713835,4
0,1,0.11736236474588284,0.532258064516129,0.26206896551724135,1.0,0.6045605421617909,4
1,0,0.903392289546255,0.5967741935483871,0.3793103448275862,1.0,0.06188385358620237,3
0,2,0.01940349750257495,0.5483870967741935,0.16896551724137931,1.0,0.5040264197666962,2
1,2,0.21016025605528668,0.04838709677419356,0.5620689655172414,1.0,0.09595919536134934,0
0,1,0.5473957006633957,0.09677419354838712,0.3482758620689655,1.0,0.10209024288923516,4
1,0,0.865515599215886,0.12903225806451613,0.3896551724137931,1.0,0.005944850820811549,3
1,2,0.1846544028883745,0.0,0.4275862068965517,1.0,0.013355076448200345,0
1,0,0.5152005138825821,0.29032258064516125,0.4103448275862069,1.0,0.22614430312017286,3
0,1,0.6152636416997994,0.016129032258064557,0.5103448275862069,1.0,0.06923627084966197,4
1,2,0.5456347668147031,0.33870967741935487,0.7724137931034483,1.0,0.3366812890458528,0
0,1,0.020400252511268865,0.6612903225806451,0.3310344827586207,1.0,0.5274757776233234,4
0,2,0.07887654635464543,0.0,0.5482758620689655,1.0,0.4347283074114356,2
1,1,0.06540927868162537,0.8548387096774193,0.09655172413793102,1.0,0.3797633083592239,1
1,1,0.09470280088157441,0.32258064516129037,0.2862068965517241,1.0,0.607992073532239,1
1,2,0.057523839057291255,0.33870967741935487,0.3793103448275862,1.0,0.5964801428269905,0
1,2,0.16089840851450277,0.04838709677419356,0.296551724137931,1.0,0.12299132740103008,0
0,2,0.008007265236507813,0.7580645161290323,0.9172413793103449,1.0,0.23751305729615496,2
1,1,0.04436667294253153,0.30645161290322587,0.29310344827586204,1.0,0.1737793360642184,1
1,2,0.14086363283975503,0.4193548387096775,0.6448275862068966,1.0,0.11231022387969408,0
1,1,0.061920636151196654,0.14516129032258068,0.9413793103448276,1.0,0.08405336115304833,1
0,2,0.031065531104293796,0.6612903225806451,0.034482758620689655,1.0,0.5534290442664186,2
1,0,0.06518777756858227,0.1774193548387097,0.8517241379310345,1.0,0.6535296039320443,3
1,2,0.9718915087548313,0.06451612903225812,0.4827586206896552,1.0,0.020014465534787865,0
0,1,0.28241391912994357,0.435483870967742,0.13793103448275862,1.0,0.9891024512090688,4
1,1,0.1378844428693254,0.5,0.1206896551724138,1.0,0.3806929475140387,1
1,1,0.08624145836332826,0.12903225806451613,0.46551724137931033,1.0,0.05373220208190774,1
1,0,0.7187932619361411,0.9193548387096775,0.4379310344827586,1.0,0.3209446424418253,3
1,2,0.3714241414063105,0.5967741935483871,0.7103448275862069,1.0,0.061716478206919,0
1,0,0.3634944015593678,0.7258064516129032,0.3758620689655172,1.0,0.28382629527705666,3
1,2,0.037389387881674105,0.32258064516129037,0.031034482758620682,1.0,0.9486776000656059,0
0,2,0.26708604210736153,0.6290322580645161,0.36551724137931035,1.0,0.8910399724670863,2
1,0,0.06097925642076351,0.016129032258064557,0.36896551724137927,1.0,0.009446962170475522,3
1,1,0.33673706710376217,0.14516129032258068,0.07931034482758621,1.0,0.05158119319151912,1
1,1,0.4817759959243794,0.903225806451613,0.27586206896551724,1.0,0.3073274117851088,1
1,1,0.18188563897533586,0.12903225806451613,0.22413793103448276,1.0,0.09464573555765579,1
1,2,0.5648056881485829,0.016129032258064557,0.3275862068965517,1.0,0.04573918748327928,0
1,2,0.694007287386619,0.12903225806451613,0.4413793103448276,1.0,0.011041397510476086,0
0,2,0.024088246043436366,0.3709677419354839,0.5689655172413793,1.0,0.08293752529115922,2
0,2,0.4707784656617899,0.8225806451612903,0.38275862068965516,1.0,0.2558551134186656,2
1,2,0.4699146113209218,0.532258064516129,0.8758620689655173,1.0,0.34164743082153753,0
1,1,0.09432624898940117,0.7903225806451613,0.46551724137931033,1.0,0.9950869612562968,1
1,1,0.18743424185706534,0.16129032258064518,0.4551724137931034,1.0,0.05496029372026398,1
1,0,0.11559035584153808,0.7096774193548387,0.27586206896551724,1.0,0.29418609184539085,3
1,1,0.3507359374480856,0.11290322580645162,0.2517241379310345,1.0,0.08219408284341866,1
0,1,0.06676043547118823,0.6290322580645161,0.14482758620689656,1.0,0.23080863146092492,4
0,1,0.32372387671248043,0.8064516129032258,0.17586206896551726,1.0,0.3049807955237505,4
1,1,0.4277850996201255,0.4838709677419355,0.06206896551724138,1.0,0.3716782036924756,1
1,1,0.12383019724674114,0.08064516129032262,0.1413793103448276,1.0,0.055727935018021424,1
1,0,0.6293511124893402,0.4516129032258065,0.489655172413793,1.0,0.3628926767557946,3
1,2,0.3869402943749792,0.4838709677419355,0.7448275862068966,1.0,0.4403095032917158,0
0,1,0.6657658954736246,0.6129032258064516,0.32413793103448274,1.0,0.5617521042916662,4
1,2,0.006102355664337212,0.5161290322580645,0.393103448275862,1.0,0.9334619009272195,0
0,1,0.2226861439978736,0.3870967741935484,0.6068965517241379,1.0,0.16695996569140822,4
1,1,0.3302138593246431,0.6129032258064516,0.7413793103448276,1.0,0.1958426375671014,1
1,1,0.5767888983642141,0.11290322580645162,0.4068965517241379,1.0,0.12436662871032231,1
0,2,0.12960030124151373,0.6774193548387097,0.020689655172413793,1.0,0.2396035690615014,2
0,1,0.20916350104659276,0.22580645161290325,0.32068965517241377,1.0,0.05886773580771057,4
1,0,0.14761941678756937,0.4193548387096775,0.7241379310344828,1.0,0.25173727577412797,3
1,2,0.15831792054755076,0.27419354838709675,0.43103448275862066,1.0,0.4217032763898542,0
1,0,0.027144961403431048,0.7096774193548387,0.15517241379310343,1.0,0.38750156284239695,3
